cost_scenario,is_baseline,year,trading_days,strategy_return,benchmark_return,return_difference,strategy_annualized_volatility,benchmark_annualized_volatility,strategy_max_drawdown_within_year,benchmark_max_drawdown_within_year,average_cash_weight,two_way_turnover,total_trading_cost,failed_buy_orders,failed_sell_orders
BASE_10BPS,True,2016,225,0.24542510072343204,0.15212505990802017,0.09330004081541188,0.18147325037313175,0.207979077987718,-0.0924460690959702,-0.11072201546400928,0.006044426670678683,6.275746862357412,994692.9066909208,3,22
BASE_10BPS,True,2017,244,0.1530648742764924,0.02338128955366714,0.12968358472282526,0.10692410111609928,0.11318374845730236,-0.09341485920395232,-0.09389055444751038,0.0021265676632349737,5.512417293528454,1143646.1955194268,3,24
BASE_10BPS,True,2018,243,-0.188315159128421,-0.29935645387051835,0.11104129474209734,0.19036276234634775,0.21638093911474815,-0.28676107749843804,-0.3452282679710136,2.1514525883451102e-17,5.4271627189009095,1077074.9935014555,0,39
BASE_10BPS,True,2019,244,0.13649926943318014,0.31107850469092035,-0.17457923525774022,0.1774198600103879,0.20947740336613535,-0.17180160730208238,-0.16503875767719112,1.6989817381646815e-17,5.8201774039012015,1123160.165859801,0,2
BASE_10BPS,True,2020,243,0.05214134749153332,0.24923814352034235,-0.19709679602880903,0.2109190733166171,0.23643813031172206,-0.1425633212271714,-0.14902959089692935,2.7825149415312886e-17,5.670285748774326,1105440.6672315123,0,29
BASE_10BPS,True,2021,243,0.12806083609886154,0.06191534888698502,0.06614548721187652,0.13969255361099298,0.16328921730965942,-0.10431850403056475,-0.11046117100704922,1.3171478828755194e-17,5.9968253856365585,1297991.0725093414,0,2
BASE_10BPS,True,2022,242,0.05481472253697128,-0.20321894865457835,0.25803367119154963,0.20245766190419792,0.20793709792424542,-0.14808436512774692,-0.2697670568877083,1.4035600901778797e-17,5.823872919835683,1406217.9579525567,0,1
BASE_10BPS,True,2023,242,0.00365363080651937,-0.07035803715896394,0.07401166796548331,0.12312001831679673,0.1306147652036932,-0.1471062114837195,-0.17752250204644593,0.00015299525086126815,4.352537620327661,1095058.1997961726,1,12
BASE_10BPS,True,2024,242,0.1848391164304668,0.07433735955228227,0.11050175687818453,0.21437022053982388,0.25672700110947483,-0.17785668840595592,-0.17161863894773755,0.002946172226331781,4.1475398515040975,929549.8891073461,22,35
BASE_10BPS,True,2025,243,0.08306700189302596,0.24595287383988662,-0.16288587194686066,0.14346714560379234,0.1794908493019668,-0.08198956438133431,-0.13747649620067415,0.0007042226057298048,4.148983742523665,1068912.3882409374,1,37
STRESS_20BPS,False,2016,225,0.2376861868061153,0.15212505990802017,0.08556112689809514,0.18149694078379208,0.207979077987718,-0.09352668400858632,-0.11072201546400928,0.006044414586097235,6.269196925486028,1683848.0764594162,3,22
STRESS_20BPS,False,2017,244,0.14674904927199162,0.02338128955366714,0.12336775971832448,0.10684771739987124,0.11318374845730236,-0.09386492163569082,-0.09389055444751038,0.0021254183030926343,5.506862787546686,1887765.0550291263,3,24
STRESS_20BPS,False,2018,243,-0.19271728703061142,-0.29935645387051835,0.10663916683990693,0.1904830763605472,0.21638093911474815,-0.28955763421021496,-0.3452282679710136,2.440812762789228e-17,5.421659235756375,1768184.3565398115,0,39
STRESS_20BPS,False,2019,244,0.1298789401408844,0.31107850469092035,-0.18119956455003594,0.17736500115943518,0.20947740336613535,-0.17313641490107567,-0.16503875767719112,5.1621651472254934e-17,5.813341515365503,1832958.393354379,0,2
STRESS_20BPS,False,2020,243,0.046172750274038554,0.24923814352034235,-0.2030653932463038,0.2106895607613746,0.23643813031172206,-0.1427181680556393,-0.14902959089692935,6.099770401141005e-17,5.663655899775186,1793563.1446429016,0,30
STRESS_20BPS,False,2021,243,0.12133075138230609,0.06191534888698502,0.05941540249532107,0.13947313275363044,0.16328921730965942,-0.10512163568973165,-0.11046117100704922,3.4461409543372464e-17,5.990278371341972,2094008.0145785403,0,2
STRESS_20BPS,False,2022,242,0.048675635844531495,-0.20321894865457835,0.25189458449910984,0.2022938355554723,0.20793709792424542,-0.15051735360062835,-0.2697670568877083,5.180149201525873e-17,5.8168664364420195,2255050.5310805114,0,1
STRESS_20BPS,False,2023,242,-0.0006678477340951172,-0.07035803715896394,0.06969018942486882,0.12292854954357478,0.1306147652036932,-0.1480961297288611,-0.17752250204644593,0.00015393870264065562,4.348052832982266,1780283.6065572836,1,12
STRESS_20BPS,False,2024,242,0.18002173138245414,0.07433735955228227,0.10568437183017187,0.21431136404287895,0.25672700110947483,-0.17886112110078467,-0.17161863894773755,0.0029422556866258096,4.143733860414121,1595267.2708382742,22,35
STRESS_20BPS,False,2025,243,0.07857741096228921,0.24595287383988662,-0.16737546287759741,0.14348158759335125,0.1794908493019668,-0.08224988898249264,-0.13747649620067415,0.0007033234374460107,4.144208627776196,1826545.3354609073,1,37
STRESS_5BPS,False,2016,225,0.24931690626719183,0.15212505990802017,0.09719184635917166,0.18146989883489514,0.207979077987718,-0.09190476049848129,-0.11072201546400928,0.006044433562821862,6.279053324653262,648041.4814253461,3,22
STRESS_5BPS,False,2017,244,0.15623949650144486,0.02338128955366714,0.13285820694777772,0.10697136807501494,0.11318374845730236,-0.0931895395427601,-0.09389055444751038,0.0021271412830998347,5.515216934233855,766014.2932308696,3,24
STRESS_5BPS,False,2018,243,-0.18610253835765,-0.29935645387051835,0.11325391551286834,0.19030736842088672,0.21638093911474815,-0.2853569861266919,-0.3452282679710136,1.3829224861613047e-17,5.42993412170809,723508.3430758216,0,39
STRESS_5BPS,False,2019,244,0.13982853641369264,0.31107850469092035,-0.17124996827722772,0.17745337215042287,0.20947740336613535,-0.17113238763645922,-0.16503875767719112,2.1237804518899632e-17,5.8236432950893375,756707.6840207417,0,2
STRESS_5BPS,False,2020,243,0.05514250230634521,0.24923814352034235,-0.19409564121399714,0.21103910737432588,0.23643813031172206,-0.1424858149371102,-0.14902959089692935,5.091885985300843e-17,5.673626173986245,746941.87789094,0,28
